CustomerCategory,Age,Gender,VisitsPerMonth
Silver,50,Male,3
Silver,51,Male,3
Bronze,43,Male,2
Silver,48,Female,3
Gold,35,Male,4
Silver,27,Female,4
Bronze,33,Female,1
Gold,33,Male,5
Silver,57,Female,2
Silver,57,Female,3
Bronze,35,Female,2
Gold,39,Female,6
Gold,28,Female,5
Gold,44,Male,6
Gold,42,Male,4
Gold,45,Female,4
Silver,34,Male,4
Silver,28,Female,2
Gold,63,Male,5
Silver,18,Female,4
Gold,63,Female,4
Gold,52,Male,8
Silver,30,Female,3
Silver,39,Female,2
Silver,40,Female,2
Gold,35,Male,6
Silver,63,Female,1
Gold,48,Female,3
Silver,67,Male,3
Bronze,28,Male,1
Bronze,63,Female,2
Gold,49,Female,4
Bronze,63,Female,1
Bronze,30,Male,0
Gold,64,Female,5
Gold,66,Female,6
Gold,51,Female,4
Gold,40,Male,6
Bronze,18,Female,3
Gold,56,Male,6
Bronze,58,Female,2
Silver,59,Female,3
Silver,68,Female,2
Bronze,18,Female,1
Bronze,35,Female,1
Gold,69,Male,7
Gold,19,Female,5
Gold,54,Female,4
Gold,42,Female,4
Bronze,39,Female,1
Bronze,24,Female,1
Gold,21,Male,6
Silver,18,Female,3
Bronze,21,Male,0
Silver,47,Male,3
Gold,52,Male,4
Gold,65,Male,3
Silver,65,Male,3
Bronze,36,Male,3
Gold,36,Female,6
Gold,41,Female,6
Bronze,51,Male,2
Bronze,30,Male,1
Silver,33,Male,5
Silver,41,Female,3
Bronze,65,Female,1
Bronze,36,Male,2
Bronze,67,Male,1
Bronze,49,Male,2
Bronze,33,Male,2
Gold,19,Female,5
Bronze,51,Female,0
Bronze,30,Female,2
Bronze,49,Male,3
Silver,47,Male,3
Bronze,28,Female,3
Bronze,22,Female,1
Silver,37,Female,5
Gold,50,Male,4
Gold,62,Female,6
Bronze,66,Female,1
Silver,27,Female,3
Gold,66,Male,6
Bronze,67,Female,2
Silver,60,Female,2
Silver,61,Male,2
Silver,21,Female,3
Gold,54,Female,5
Silver,34,Female,3
Bronze,32,Male,3
Gold,38,Female,8
Bronze,46,Male,2
Bronze,43,Female,2
Gold,50,Female,4
Gold,44,Male,5
Silver,65,Male,5
Gold,42,Male,4
Gold,58,Female,6
Bronze,18,Female,1
Silver,57,Female,3
Bronze,33,Female,2
Silver,31,Female,2
Bronze,19,Male,1
Gold,67,Male,3
Bronze,31,Female,3
Bronze,27,Male,4
Bronze,61,Female,1
Bronze,22,Male,2
Silver,28,Female,3
Gold,31,Male,9
Bronze,26,Male,0
Silver,61,Female,3
Gold,23,Female,6
Bronze,25,Male,3
Bronze,39,Male,1
Gold,66,Male,6
Silver,42,Female,4
Bronze,66,Female,2
Silver,36,Female,3
Bronze,29,Female,2
Bronze,35,Female,2
Silver,36,Male,3
Silver,24,Male,3
Bronze,38,Male,4
Silver,18,Female,4
Bronze,21,Female,3
Gold,43,Female,4
Silver,20,Male,5
Silver,23,Male,5
Bronze,25,Female,3
Bronze,32,Male,3
Bronze,47,Female,1
Gold,37,Male,6
Gold,18,Male,8
Silver,65,Female,2
Bronze,52,Male,1
Bronze,22,Female,2
Silver,33,Male,4
Silver,24,Female,4
Bronze,64,Female,3
Gold,44,Male,5
Bronze,50,Female,1
Gold,31,Female,7
Bronze,44,Female,2
Silver,65,Male,2
Silver,53,Male,3
Silver,67,Female,2
Gold,47,Female,4
Bronze,61,Male,2
Bronze,32,Female,1
Bronze,32,Male,2
Bronze,69,Female,1
Bronze,26,Male,1
Bronze,22,Male,1
Bronze,39,Male,1
Bronze,31,Female,2
Bronze,23,Female,3
Gold,66,Male,5
Gold,32,Female,6
Bronze,28,Female,3
Gold,22,Male,7
Silver,66,Male,4
Bronze,47,Female,2
Gold,43,Male,4
Silver,61,Female,2
Silver,65,Male,4
Bronze,52,Male,0
Silver,56,Female,4
Bronze,25,Male,0
Bronze,45,Male,2
Gold,26,Male,5
Silver,42,Female,3
Silver,40,Female,3
Bronze,68,Male,3
Gold,47,Female,4
Gold,43,Male,5
Bronze,28,Female,1
Silver,39,Male,5
Silver,67,Female,3
Bronze,27,Female,2
